date,Cases
19/05/2022,22241442
18/05/2022,22234623
17/05/2022,22226988
16/05/2022,22218704
15/05/2022,22209287
14/05/2022,22201314
13/05/2022,22195194
12/05/2022,22188257
11/05/2022,22180618
10/05/2022,22171896
09/05/2022,22162151
08/05/2022,22151454
07/05/2022,22142392
06/05/2022,22134876
05/05/2022,22125931
04/05/2022,22115720
03/05/2022,22104056
02/05/2022,22090744
01/05/2022,22078853
30/04/2022,22069820
29/04/2022,22061465
28/04/2022,22051458
27/04/2022,22039859
26/04/2022,22026807
25/04/2022,22012247
24/04/2022,21995147
23/04/2022,21980434
22/04/2022,21967227
21/04/2022,21951530
20/04/2022,21933068
19/04/2022,21911624
18/04/2022,21885857
17/04/2022,21860640
16/04/2022,21840497
15/04/2022,21820578
14/04/2022,21798968
13/04/2022,21772329
12/04/2022,21740647
11/04/2022,21706878
10/04/2022,21669508
09/04/2022,21638560
08/04/2022,21610676
07/04/2022,21577692
06/04/2022,21538985
05/04/2022,21494239
04/04/2022,21445138
03/04/2022,21391419
02/04/2022,21349245
01/04/2022,21311657
31/03/2022,21264194
30/03/2022,21209406
29/03/2022,21135766
28/03/2022,21055638
27/03/2022,20962787
26/03/2022,20894453
25/03/2022,20833000
24/03/2022,20760570
23/03/2022,20677670
22/03/2022,20583489
21/03/2022,20484394
20/03/2022,20375109
19/03/2022,20294060
18/03/2022,20226643
17/03/2022,20151360
16/03/2022,20068510
15/03/2022,19976756
14/03/2022,19883049
13/03/2022,19783215
12/03/2022,19707482
11/03/2022,19645415
10/03/2022,19578385
09/03/2022,19507875
08/03/2022,19434345
07/03/2022,19364237
06/03/2022,19295716
05/03/2022,19246693
04/03/2022,19207939
03/03/2022,19166531
02/03/2022,19122770
01/03/2022,19076592
28/02/2022,19031804
27/02/2022,18987163
26/02/2022,18955803
25/02/2022,18930717
24/02/2022,18902881
23/02/2022,18872249
22/02/2022,18835773
21/02/2022,18796585
20/02/2022,18751457
19/02/2022,18713740
18/02/2022,18679092
17/02/2022,18645852
16/02/2022,18601136
15/02/2022,18549566
14/02/2022,18497065
13/02/2022,18442319
12/02/2022,18400564
11/02/2022,18363037
10/02/2022,18318480
09/02/2022,18266187
08/02/2022,18201846
07/02/2022,18132185
06/02/2022,18055702
05/02/2022,17995155
04/02/2022,17942850
03/02/2022,17879586
02/02/2022,17802943
01/02/2022,17714526
31/01/2022,17620576
30/01/2022,17515527
29/01/2022,17427829
28/01/2022,17354323
27/01/2022,17270297
26/01/2022,17174095
25/01/2022,17065427
24/01/2022,16952226
23/01/2022,16824862
22/01/2022,16722498
21/01/2022,16640765
20/01/2022,16549035
19/01/2022,16448709
18/01/2022,16336950
17/01/2022,16218093
16/01/2022,16086579
15/01/2022,15988485
14/01/2022,15910536
13/01/2022,15824211
12/01/2022,15727799
11/01/2022,15624578
10/01/2022,15509334
09/01/2022,15376377
08/01/2022,15280589
07/01/2022,15186977
06/01/2022,15066689
05/01/2022,14893709
04/01/2022,14671539
03/01/2022,14395892
02/01/2022,14165996
01/01/2022,13984931
31/12/2021,13866662
30/12/2021,13678098
29/12/2021,13441525
28/12/2021,13168732
27/12/2021,12956269
26/12/2021,12761261
25/12/2021,12644986
24/12/2021,12574623
23/12/2021,12437355
22/12/2021,12276721
21/12/2021,12115161
20/12/2021,11964869
19/12/2021,11830903
18/12/2021,11741774
17/12/2021,11652891
16/12/2021,11557012
15/12/2021,11450963
14/12/2021,11338264
13/12/2021,11235478
12/12/2021,11148308
11/12/2021,11095151
10/12/2021,11046557
09/12/2021,10994066
08/12/2021,10937072
07/12/2021,10878247
06/12/2021,10821995
05/12/2021,10762303
04/12/2021,10721252
03/12/2021,10682470
02/12/2021,10636803
01/12/2021,10586483
30/11/2021,10531664
29/11/2021,10475970
28/11/2021,10419680
27/11/2021,10379976
26/11/2021,10346676
25/11/2021,10307347
24/11/2021,10263923
23/11/2021,10217152
22/11/2021,10168955
21/11/2021,10118222
20/11/2021,10080970
19/11/2021,10045635
18/11/2021,10006027
17/11/2021,9961966
16/11/2021,9916072
15/11/2021,9869643
14/11/2021,9818694
13/11/2021,9783164
12/11/2021,9750281
11/11/2021,9712516
10/11/2021,9671517
09/11/2021,9628575
08/11/2021,9586329
07/11/2021,9542201
06/11/2021,9511615
05/11/2021,9484179
04/11/2021,9453861
03/11/2021,9420200
02/11/2021,9384214
01/11/2021,9346195
31/10/2021,9301086
30/10/2021,9266272
29/10/2021,9232703
28/10/2021,9192452
27/10/2021,9151061
26/10/2021,9108016
25/10/2021,9065892
24/10/2021,9018427
23/10/2021,8982662
22/10/2021,8947559
21/10/2021,8906894
20/10/2021,8861701
19/10/2021,8810040
18/10/2021,8757511
17/10/2021,8699768
16/10/2021,8656015
15/10/2021,8618137
14/10/2021,8574577
13/10/2021,8528157
12/10/2021,8480384
11/10/2021,8432063
10/10/2021,8381759
09/10/2021,8345341
08/10/2021,8313035
07/10/2021,8277423
06/10/2021,8238958
05/10/2021,8199694
04/10/2021,8160416
03/10/2021,8116682
02/10/2021,8084624
01/10/2021,8058308
30/09/2021,8029250
29/09/2021,7996645
28/09/2021,7961809
27/09/2021,7925262
26/09/2021,7883673
25/09/2021,7851590
24/09/2021,7823023
23/09/2021,7790914
22/09/2021,7755063
21/09/2021,7718306
20/09/2021,7679458
19/09/2021,7638690
18/09/2021,7607606
17/09/2021,7580961
16/09/2021,7551482
15/09/2021,7521773
14/09/2021,7491359
13/09/2021,7459925
12/09/2021,7425267
11/09/2021,7401207
10/09/2021,7377674
09/09/2021,7348487
08/09/2021,7314513
07/09/2021,7278664
06/09/2021,7240045
05/09/2021,7195116
04/09/2021,7163313
03/09/2021,7131503
02/09/2021,7092873
01/09/2021,7050544
31/08/2021,7007011
30/08/2021,6961799
29/08/2021,6927026
28/08/2021,6900891
27/08/2021,6873292
26/08/2021,6839549
25/08/2021,6801936
24/08/2021,6763159
23/08/2021,6725477
22/08/2021,6685762
21/08/2021,6657019
20/08/2021,6628486
19/08/2021,6596255
18/08/2021,6559755
17/08/2021,6521016
16/08/2021,6483097
15/08/2021,6446191
14/08/2021,6420865
13/08/2021,6395808
12/08/2021,6366835
11/08/2021,6335109
10/08/2021,6301760
09/08/2021,6270242
08/08/2021,6238080
07/08/2021,6215193
06/08/2021,6192653
05/08/2021,6164617
04/08/2021,6132958
03/08/2021,6100620
02/08/2021,6070148
01/08/2021,6040308
31/07/2021,6019323
30/07/2021,5998754
29/07/2021,5974004
28/07/2021,5945572
27/07/2021,5915335
26/07/2021,5885754
25/07/2021,5855774
24/07/2021,5833587
23/07/2021,5810735
22/07/2021,5782918
21/07/2021,5751640
20/07/2021,5716092
19/07/2021,5676215
18/07/2021,5628291
17/07/2021,5592110
16/07/2021,5553635
15/07/2021,5498372
14/07/2021,5436372
13/07/2021,5381463
12/07/2021,5333757
11/07/2021,5289245
10/07/2021,5258742
09/07/2021,5230363
08/07/2021,5197560
07/07/2021,5163544
06/07/2021,5124947
05/07/2021,5088887
04/07/2021,5053968
03/07/2021,5028798
02/07/2021,5004788
01/07/2021,4978448
30/06/2021,4949654
29/06/2021,4920731
28/06/2021,4892532
27/06/2021,4864114
26/06/2021,4845612
25/06/2021,4829311
24/06/2021,4811142
23/06/2021,4792430
22/06/2021,4774080
21/06/2021,4756677
20/06/2021,4740370
19/06/2021,4730282
18/06/2021,4721836
17/06/2021,4711516
16/06/2021,4700410
15/06/2021,4689358
14/06/2021,4678562
13/06/2021,4668200
12/06/2021,4661065
11/06/2021,4654781
10/06/2021,4647162
09/06/2021,4639120
08/06/2021,4630910
07/06/2021,4623014
06/06/2021,4615069
05/06/2021,4609536
04/06/2021,4604805
03/06/2021,4598945
02/06/2021,4592689
01/06/2021,4586521
31/05/2021,4581090
30/05/2021,4577193
29/05/2021,4574029
28/05/2021,4571029
27/05/2021,4567440
26/05/2021,4563693
25/05/2021,4559772
24/05/2021,4556345
23/05/2021,4552977
22/05/2021,4550651
21/05/2021,4548651
20/05/2021,4546286
19/05/2021,4543769
18/05/2021,4540957
