Date,Price
18/10/2022,1.1266
17/10/2022,1.1353
14/10/2022,1.117
13/10/2022,1.1329
12/10/2022,1.1103
11/10/2022,1.0963
10/10/2022,1.1055
07/10/2022,1.1084
06/10/2022,1.1158
05/10/2022,1.1326
04/10/2022,1.1473
03/10/2022,1.1322
30/09/2022,1.116
29/09/2022,1.1115
28/09/2022,1.0888
27/09/2022,1.0731
26/09/2022,1.0684
23/09/2022,1.0856
22/09/2022,1.1257
21/09/2022,1.1266
20/09/2022,1.1379
19/09/2022,1.1429
16/09/2022,1.1412
15/09/2022,1.1463
14/09/2022,1.1535
13/09/2022,1.1491
12/09/2022,1.1679
09/09/2022,1.1587
08/09/2022,1.15
07/09/2022,1.1525
06/09/2022,1.1516
05/09/2022,1.1513
02/09/2022,1.1507
01/09/2022,1.1542
31/08/2022,1.1622
30/08/2022,1.1655
29/08/2022,1.1707
26/08/2022,1.1747
25/08/2022,1.1829
24/08/2022,1.1797
23/08/2022,1.1831
22/08/2022,1.1765
19/08/2022,1.1827
18/08/2022,1.193
17/08/2022,1.2047
16/08/2022,1.2093
15/08/2022,1.2054
12/08/2022,1.213
11/08/2022,1.2212
10/08/2022,1.2225
09/08/2022,1.208
08/08/2022,1.2076
05/08/2022,1.2071
04/08/2022,1.2157
03/08/2022,1.2143
02/08/2022,1.2172
01/08/2022,1.2248
29/07/2022,1.2166
28/07/2022,1.2169
27/07/2022,1.2151
26/07/2022,1.2025
25/07/2022,1.2042
22/07/2022,1.2002
21/07/2022,1.1993
20/07/2022,1.1969
19/07/2022,1.1995
18/07/2022,1.1954
15/07/2022,1.1852
14/07/2022,1.1822
13/07/2022,1.1889
12/07/2022,1.1885
11/07/2022,1.1889
08/07/2022,1.2027
07/07/2022,1.2021
06/07/2022,1.193
05/07/2022,1.1957
04/07/2022,1.2105
01/07/2022,1.2094
30/06/2022,1.2175
29/06/2022,1.2125
28/06/2022,1.2182
27/06/2022,1.2264
24/06/2022,1.2262
23/06/2022,1.226
22/06/2022,1.2266
21/06/2022,1.2272
20/06/2022,1.225
17/06/2022,1.2224
16/06/2022,1.2351
15/06/2022,1.2178
14/06/2022,1.1993
13/06/2022,1.2134
10/06/2022,1.2314
09/06/2022,1.249
08/06/2022,1.2539
07/06/2022,1.2588
06/06/2022,1.253
03/06/2022,1.2485
02/06/2022,1.2576
01/06/2022,1.2482
31/05/2022,1.26
30/05/2022,1.265
27/05/2022,1.2616
26/05/2022,1.2594
25/05/2022,1.2564
24/05/2022,1.2529
23/05/2022,1.2588
20/05/2022,1.2487
19/05/2022,1.246
18/05/2022,1.2338
17/05/2022,1.249
16/05/2022,1.2317
13/05/2022,1.2261
12/05/2022,1.2199
11/05/2022,1.225
10/05/2022,1.2322
09/05/2022,1.2331
06/05/2022,1.2337
05/05/2022,1.2364
04/05/2022,1.2621
03/05/2022,1.2498
02/05/2022,1.2491
29/04/2022,1.2571
28/04/2022,1.2456
27/04/2022,1.2548
26/04/2022,1.2582
25/04/2022,1.274
22/04/2022,1.2837
21/04/2022,1.3028
20/04/2022,1.3066
19/04/2022,1.2996
18/04/2022,1.3008
15/04/2022,1.3058
14/04/2022,1.3065
13/04/2022,1.3115
12/04/2022,1.2997
11/04/2022,1.3029
08/04/2022,1.3031
07/04/2022,1.3073
06/04/2022,1.3068
05/04/2022,1.3068
04/04/2022,1.3113
01/04/2022,1.3112
31/03/2022,1.3133
30/03/2022,1.3131
29/03/2022,1.3084
28/03/2022,1.3084
25/03/2022,1.3188
24/03/2022,1.3183
23/03/2022,1.3203
22/03/2022,1.3263
21/03/2022,1.3165
18/03/2022,1.318
17/03/2022,1.3146
16/03/2022,1.3145
15/03/2022,1.3038
14/03/2022,1.3
11/03/2022,1.3036
10/03/2022,1.3083
09/03/2022,1.3179
08/03/2022,1.3103
07/03/2022,1.3102
04/03/2022,1.3225
03/03/2022,1.3346
02/03/2022,1.3403
01/03/2022,1.3321
28/02/2022,1.3419
25/02/2022,1.3405
24/02/2022,1.3375
23/02/2022,1.3542
22/02/2022,1.3582
21/02/2022,1.3598
18/02/2022,1.359
17/02/2022,1.3614
16/02/2022,1.3583
15/02/2022,1.3533
14/02/2022,1.3526
11/02/2022,1.356
