Date,Price
16/10/2022,1.1279
09/10/2022,1.117
02/10/2022,1.1084
25/09/2022,1.116
18/09/2022,1.0856
11/09/2022,1.1412
04/09/2022,1.1587
28/08/2022,1.1507
21/08/2022,1.1747
14/08/2022,1.1827
07/08/2022,1.213
31/07/2022,1.2071
24/07/2022,1.2166
17/07/2022,1.2002
10/07/2022,1.1852
03/07/2022,1.2027
26/06/2022,1.2094
19/06/2022,1.2262
12/06/2022,1.2224
05/06/2022,1.2314
29/05/2022,1.2485
22/05/2022,1.2616
15/05/2022,1.2487
08/05/2022,1.2261
01/05/2022,1.2337
24/04/2022,1.2571
17/04/2022,1.2837
10/04/2022,1.3058
03/04/2022,1.3031
27/03/2022,1.3112
20/03/2022,1.3188
13/03/2022,1.318
06/03/2022,1.3036
27/02/2022,1.3225
20/02/2022,1.3405
13/02/2022,1.359
06/02/2022,1.356
30/01/2022,1.3529
23/01/2022,1.3404
16/01/2022,1.3554
09/01/2022,1.3673
02/01/2022,1.3585
26/12/2021,1.3529
19/12/2021,1.3385
12/12/2021,1.3242
05/12/2021,1.3269
28/11/2021,1.3231
21/11/2021,1.334
14/11/2021,1.3452
07/11/2021,1.3413
31/10/2021,1.3494
24/10/2021,1.3691
17/10/2021,1.3751
10/10/2021,1.3749
03/10/2021,1.3611
26/09/2021,1.3545
19/09/2021,1.3682
12/09/2021,1.3742
05/09/2021,1.3839
29/08/2021,1.3865
22/08/2021,1.3757
15/08/2021,1.3621
08/08/2021,1.3863
01/08/2021,1.3871
25/07/2021,1.3901
18/07/2021,1.3745
11/07/2021,1.3772
04/07/2021,1.3899
27/06/2021,1.3821
20/06/2021,1.3877
13/06/2021,1.3809
06/06/2021,1.4106
30/05/2021,1.4154
23/05/2021,1.4187
16/05/2021,1.4147
09/05/2021,1.4096
02/05/2021,1.3972
25/04/2021,1.3814
18/04/2021,1.3874
11/04/2021,1.383
04/04/2021,1.3708
28/03/2021,1.3829
21/03/2021,1.3787
14/03/2021,1.3868
07/03/2021,1.3922
28/02/2021,1.3841
21/02/2021,1.3932
14/02/2021,1.4014
07/02/2021,1.3844
31/01/2021,1.3733
24/01/2021,1.3702
17/01/2021,1.3684
10/01/2021,1.3586
