City,High Street Vacancies
Average,
Aberdeen,20
Aldershot,15
Barnsley,14
Birmingham,18
Blackburn,26
Blackpool,25
Bournemouth,16
Bradford,28
Brighton,10
Bristol,17
Burnley,19
Cambridge,12
Cardiff,23
Chatham,14
Coventry,16
Crawley,15
Derby,23
Doncaster,21
Dundee,23
Edinburgh,10
Exeter,13
Glasgow,19
Gloucester,22
Huddersfield,23
Hull,24
Ipswich,21
Leeds,20
Leicester,22
Liverpool,12
London,13
Luton,16
Manchester,15
Mansfield,19
Newcastle,20
Newport,33
Northampton,25
Norwich,16
Nottingham,17
Oxford,18
Peterborough,16
Plymouth,19
Portsmouth,20
Preston,23
Reading,18
Sheffield,18
Southampton,11
Southend,25
Stoke,29
Sunderland,28
Swansea,23
Swindon,21
York,11
