,Spend Index,Average Footfall
Average,112,90
Aberdeen,106,110
Aldershot,70,105
Barnsley,138,134
Basildon,102,104
Belfast,,100
Birkenhead,116,101
Birmingham,105,77
Blackburn,125,98
Blackpool,195,160
Bournemouth,112,121
Bradford,133,83
Brighton,126,111
Bristol,117,91
Burnley,138,138
Cambridge,125,96
Cardiff,124,103
Chatham,131,120
Coventry,104,79
Crawley,113,104
Derby,115,98
Doncaster,123,113
Dundee,114,140
Edinburgh,102,110
Exeter,116,100
Glasgow,123,95
Gloucester,112,106
Huddersfield,144,89
Hull,135,116
Ipswich,118,100
Leeds,116,92
Leicester,107,92
Liverpool,134,102
London,101,59
Luton,111,81
Manchester,120,87
Mansfield,117,122
Middlesbrough,139,111
Milton Keynes,108,89
Newcastle,122,111
Newport,102,100
Northampton,107,103
Norwich,117,115
Nottingham,112,96
Oxford,100,91
Peterborough,103,111
Plymouth,127,165
Portsmouth,115,117
Preston,107,121
Reading,106,84
Sheffield,108,96
Slough,98,78
Southampton,105,114
Southend,129,143
Stoke,119,110
Sunderland,109,126
Swansea,131,132
Swindon,115,101
Telford,140,116
Wakefield,190,103
Warrington,130,114
Wigan,109,118
Worthing,117,103
York,131,130
