"City,Spend Index,Average Footfall,High Street Vacancies"
"Average,112,90,"
"Aberdeen,106,110,20"
"Aldershot,70,105,15"
"Barnsley,138,134,14"
"Basildon,102,104,"
"Birkenhead,116,101,"
"Birmingham,105,77,18"
"Blackburn,125,98,26"
"Blackpool,195,160,25"
"Bournemouth,112,121,16"
"Bradford,133,83,28"
"Brighton,126,111,10"
"Bristol,117,91,17"
"Burnley,138,138,19"
"Cambridge,125,96,12"
"Cardiff,124,103,23"
"Chatham,131,120,14"
"Coventry,104,79,16"
"Crawley,113,104,15"
"Derby,115,98,23"
"Doncaster,123,113,21"
"Dundee,114,140,23"
"Edinburgh,102,110,10"
"Exeter,116,100,13"
"Glasgow,123,95,19"
"Gloucester,112,106,22"
"Huddersfield,144,89,23"
"Hull,135,116,24"
"Ipswich,118,100,21"
"Leeds,116,92,20"
"Leicester,107,92,22"
"Liverpool,134,102,12"
"London,101,59,13"
"Luton,111,81,16"
"Manchester,120,87,15"
"Mansfield,117,122,19"
"Middlesbrough,139,111,"
"Milton Keynes,108,89,"
"Newcastle,122,111,20"
"Newport,102,100,33"
"Northampton,107,103,25"
"Norwich,117,115,16"
"Nottingham,112,96,17"
"Oxford,100,91,18"
"Peterborough,103,111,16"
"Plymouth,127,165,19"
"Portsmouth,115,117,20"
"Preston,107,121,23"
"Reading,106,84,18"
"Sheffield,108,96,18"
"Slough,98,78,"
"Southampton,105,114,11"
"Southend,129,143,25"
"Stoke,119,110,29"
"Sunderland,109,126,28"
"Swansea,131,132,23"
"Swindon,115,101,21"
"Telford,140,116,"
"Wakefield,190,103,"
"Warrington,130,114,"
"Wigan,109,118,"
"Worthing,117,103,"
"York,131,130,11"
