Date,Measure,Value,Category
01/01/2015, Proportion , 12 ,Clothing
01/02/2015, Proportion , 12 ,Clothing
01/03/2015, Proportion , 12 ,Clothing
01/04/2015, Proportion , 12 ,Clothing
01/05/2015, Proportion , 12 ,Clothing
01/06/2015, Proportion , 13 ,Clothing
01/07/2015, Proportion , 12 ,Clothing
01/08/2015, Proportion , 14 ,Clothing
01/09/2015, Proportion , 13 ,Clothing
01/10/2015, Proportion , 13 ,Clothing
01/11/2015, Proportion , 14 ,Clothing
01/12/2015, Proportion , 14 ,Clothing
01/01/2016, Proportion , 13 ,Clothing
01/02/2016, Proportion , 13 ,Clothing
01/03/2016, Proportion , 13 ,Clothing
01/04/2016, Proportion , 14 ,Clothing
01/05/2016, Proportion , 14 ,Clothing
01/06/2016, Proportion , 14 ,Clothing
01/07/2016, Proportion , 13 ,Clothing
01/08/2016, Proportion , 14 ,Clothing
01/09/2016, Proportion , 14 ,Clothing
01/10/2016, Proportion , 14 ,Clothing
01/11/2016, Proportion , 15 ,Clothing
01/12/2016, Proportion , 14 ,Clothing
01/01/2017, Proportion , 15 ,Clothing
01/02/2017, Proportion , 15 ,Clothing
01/03/2017, Proportion , 15 ,Clothing
01/04/2017, Proportion , 14 ,Clothing
01/05/2017, Proportion , 15 ,Clothing
01/06/2017, Proportion , 15 ,Clothing
01/07/2017, Proportion , 15 ,Clothing
01/08/2017, Proportion , 16 ,Clothing
01/09/2017, Proportion , 16 ,Clothing
01/10/2017, Proportion , 16 ,Clothing
01/11/2017, Proportion , 16 ,Clothing
01/12/2017, Proportion , 16 ,Clothing
01/01/2018, Proportion , 17 ,Clothing
01/02/2018, Proportion , 16 ,Clothing
01/03/2018, Proportion , 17 ,Clothing
01/04/2018, Proportion , 18 ,Clothing
01/05/2018, Proportion , 18 ,Clothing
01/06/2018, Proportion , 17 ,Clothing
01/07/2018, Proportion , 17 ,Clothing
01/08/2018, Proportion , 18 ,Clothing
01/09/2018, Proportion , 18 ,Clothing
01/10/2018, Proportion , 18 ,Clothing
01/11/2018, Proportion , 18 ,Clothing
01/12/2018, Proportion , 18 ,Clothing
01/01/2019, Proportion , 18 ,Clothing
01/02/2019, Proportion , 17 ,Clothing
01/03/2019, Proportion , 18 ,Clothing
01/04/2019, Proportion , 18 ,Clothing
01/05/2019, Proportion , 19 ,Clothing
01/06/2019, Proportion , 20 ,Clothing
01/07/2019, Proportion , 19 ,Clothing
01/08/2019, Proportion , 18 ,Clothing
01/09/2019, Proportion , 19 ,Clothing
01/10/2019, Proportion , 19 ,Clothing
01/11/2019, Proportion , 19 ,Clothing
01/12/2019, Proportion , 18 ,Clothing
01/01/2020, Proportion , 19 ,Clothing
01/02/2020, Proportion , 21 ,Clothing
01/03/2020, Proportion , 27 ,Clothing
01/04/2020, Proportion , 50 ,Clothing
01/05/2020, Proportion , 48 ,Clothing
01/06/2020, Proportion , 41 ,Clothing
01/07/2020, Proportion , 31 ,Clothing
01/08/2020, Proportion , 30 ,Clothing
01/09/2020, Proportion , 29 ,Clothing
01/10/2020, Proportion , 30 ,Clothing
01/11/2020, Proportion , 42 ,Clothing
01/12/2020, Proportion , 33 ,Clothing
01/01/2021, Proportion , 51 ,Clothing
01/02/2021, Proportion , 65 ,Clothing
01/03/2021, Proportion , 55 ,Clothing
01/04/2021, Proportion , 32 ,Clothing
01/05/2021, Proportion , 30 ,Clothing
01/06/2021, Proportion , 30 ,Clothing
01/07/2021, Proportion , 30 ,Clothing
01/08/2021, Proportion , 30 ,Clothing
01/09/2021, Proportion , 29 ,Clothing
01/10/2021, Proportion , 29 ,Clothing
01/11/2021, Proportion , 27 ,Clothing
01/12/2021, Proportion , 29 ,Clothing
01/01/2022, Proportion , 29 ,Clothing
01/02/2022, Proportion , 27 ,Clothing
01/03/2022, Proportion , 26 ,Clothing
01/04/2022, Proportion , 27 ,Clothing
