Date,Measure,Value,Category
2015-01-01, Proportion , 12 ,Clothing
2015-02-01, Proportion , 12 ,Clothing
2015-03-01, Proportion , 12 ,Clothing
2015-04-01, Proportion , 12 ,Clothing
2015-05-01, Proportion , 12 ,Clothing
2015-06-01, Proportion , 13 ,Clothing
2015-07-01, Proportion , 12 ,Clothing
2015-08-01, Proportion , 14 ,Clothing
2015-09-01, Proportion , 13 ,Clothing
2015-10-01, Proportion , 13 ,Clothing
2015-11-01, Proportion , 14 ,Clothing
2015-12-01, Proportion , 14 ,Clothing
2016-01-01, Proportion , 13 ,Clothing
2016-02-01, Proportion , 13 ,Clothing
2016-03-01, Proportion , 13 ,Clothing
2016-04-01, Proportion , 14 ,Clothing
2016-05-01, Proportion , 14 ,Clothing
2016-06-01, Proportion , 14 ,Clothing
2016-07-01, Proportion , 13 ,Clothing
2016-08-01, Proportion , 14 ,Clothing
2016-09-01, Proportion , 14 ,Clothing
2016-10-01, Proportion , 14 ,Clothing
2016-11-01, Proportion , 15 ,Clothing
2016-12-01, Proportion , 14 ,Clothing
2017-01-01, Proportion , 15 ,Clothing
2017-02-01, Proportion , 15 ,Clothing
2017-03-01, Proportion , 15 ,Clothing
2017-04-01, Proportion , 14 ,Clothing
2017-05-01, Proportion , 15 ,Clothing
2017-06-01, Proportion , 15 ,Clothing
2017-07-01, Proportion , 15 ,Clothing
2017-08-01, Proportion , 16 ,Clothing
2017-09-01, Proportion , 16 ,Clothing
2017-10-01, Proportion , 16 ,Clothing
2017-11-01, Proportion , 16 ,Clothing
2017-12-01, Proportion , 16 ,Clothing
2018-01-01, Proportion , 17 ,Clothing
2018-02-01, Proportion , 16 ,Clothing
2018-03-01, Proportion , 17 ,Clothing
2018-04-01, Proportion , 18 ,Clothing
2018-05-01, Proportion , 18 ,Clothing
2018-06-01, Proportion , 17 ,Clothing
2018-07-01, Proportion , 17 ,Clothing
2018-08-01, Proportion , 18 ,Clothing
2018-09-01, Proportion , 18 ,Clothing
2018-10-01, Proportion , 18 ,Clothing
2018-11-01, Proportion , 18 ,Clothing
2018-12-01, Proportion , 18 ,Clothing
2019-01-01, Proportion , 18 ,Clothing
2019-02-01, Proportion , 17 ,Clothing
2019-03-01, Proportion , 18 ,Clothing
2019-04-01, Proportion , 18 ,Clothing
2019-05-01, Proportion , 19 ,Clothing
2019-06-01, Proportion , 20 ,Clothing
2019-07-01, Proportion , 19 ,Clothing
2019-08-01, Proportion , 18 ,Clothing
2019-09-01, Proportion , 19 ,Clothing
2019-10-01, Proportion , 19 ,Clothing
2019-11-01, Proportion , 19 ,Clothing
2019-12-01, Proportion , 18 ,Clothing
2020-01-01, Proportion , 19 ,Clothing
2020-02-01, Proportion , 21 ,Clothing
2020-03-01, Proportion , 27 ,Clothing
2020-04-01, Proportion , 50 ,Clothing
2020-05-01, Proportion , 48 ,Clothing
2020-06-01, Proportion , 41 ,Clothing
2020-07-01, Proportion , 31 ,Clothing
2020-08-01, Proportion , 30 ,Clothing
2020-09-01, Proportion , 29 ,Clothing
2020-10-01, Proportion , 30 ,Clothing
2020-11-01, Proportion , 42 ,Clothing
2020-12-01, Proportion , 33 ,Clothing
2021-01-01, Proportion , 51 ,Clothing
2021-02-01, Proportion , 65 ,Clothing
2021-03-01, Proportion , 55 ,Clothing
2021-04-01, Proportion , 32 ,Clothing
2021-05-01, Proportion , 30 ,Clothing
2021-06-01, Proportion , 30 ,Clothing
2021-07-01, Proportion , 30 ,Clothing
2021-08-01, Proportion , 30 ,Clothing
2021-09-01, Proportion , 29 ,Clothing
2021-10-01, Proportion , 29 ,Clothing
2021-11-01, Proportion , 27 ,Clothing
2021-12-01, Proportion , 29 ,Clothing
2022-01-01, Proportion , 29 ,Clothing
2022-02-01, Proportion , 27 ,Clothing
2022-03-01, Proportion , 26 ,Clothing
2022-04-01, Proportion , 27 ,Clothing
2022-05-01, Proportion , 26 ,Clothing
2015-01-01, Volume , 95 ,Clothing
2015-02-01, Volume , 97 ,Clothing
2015-03-01, Volume , 98 ,Clothing
2015-04-01, Volume , 100 ,Clothing
2015-05-01, Volume , 97 ,Clothing
2015-06-01, Volume , 99 ,Clothing
2015-07-01, Volume , 94 ,Clothing
2015-08-01, Volume , 97 ,Clothing
2015-09-01, Volume , 97 ,Clothing
2015-10-01, Volume , 95 ,Clothing
2015-11-01, Volume , 96 ,Clothing
2015-12-01, Volume , 93 ,Clothing
2016-01-01, Volume , 94 ,Clothing
2016-02-01, Volume , 93 ,Clothing
2016-03-01, Volume , 90 ,Clothing
2016-04-01, Volume , 92 ,Clothing
2016-05-01, Volume , 93 ,Clothing
2016-06-01, Volume , 92 ,Clothing
2016-07-01, Volume , 96 ,Clothing
2016-08-01, Volume , 94 ,Clothing
2016-09-01, Volume , 92 ,Clothing
2016-10-01, Volume , 99 ,Clothing
2016-11-01, Volume , 95 ,Clothing
2016-12-01, Volume , 95 ,Clothing
2017-01-01, Volume , 96 ,Clothing
2017-02-01, Volume , 97 ,Clothing
2017-03-01, Volume , 98 ,Clothing
2017-04-01, Volume , 97 ,Clothing
2017-05-01, Volume , 97 ,Clothing
2017-06-01, Volume , 98 ,Clothing
2017-07-01, Volume , 97 ,Clothing
2017-08-01, Volume , 99 ,Clothing
2017-09-01, Volume , 97 ,Clothing
2017-10-01, Volume , 97 ,Clothing
2017-11-01, Volume , 98 ,Clothing
2017-12-01, Volume , 97 ,Clothing
2018-01-01, Volume , 96 ,Clothing
2018-02-01, Volume , 96 ,Clothing
2018-03-01, Volume , 94 ,Clothing
2018-04-01, Volume , 97 ,Clothing
2018-05-01, Volume , 99 ,Clothing
2018-06-01, Volume , 98 ,Clothing
2018-07-01, Volume , 99 ,Clothing
2018-08-01, Volume , 97 ,Clothing
2018-09-01, Volume , 98 ,Clothing
2018-10-01, Volume , 99 ,Clothing
2018-11-01, Volume , 99 ,Clothing
2018-12-01, Volume , 101 ,Clothing
2019-01-01, Volume , 100 ,Clothing
2019-02-01, Volume , 100 ,Clothing
2019-03-01, Volume , 103 ,Clothing
2019-04-01, Volume , 105 ,Clothing
2019-05-01, Volume , 98 ,Clothing
2019-06-01, Volume , 100 ,Clothing
2019-07-01, Volume , 100 ,Clothing
2019-08-01, Volume , 100 ,Clothing
2019-09-01, Volume , 100 ,Clothing
2019-10-01, Volume , 100 ,Clothing
2019-11-01, Volume , 97 ,Clothing
2019-12-01, Volume , 99 ,Clothing
2020-01-01, Volume , 101 ,Clothing
2020-02-01, Volume , 101 ,Clothing
2020-03-01, Volume , 66 ,Clothing
2020-04-01, Volume , 32 ,Clothing
2020-05-01, Volume , 39 ,Clothing
2020-06-01, Volume , 66 ,Clothing
2020-07-01, Volume , 77 ,Clothing
2020-08-01, Volume , 86 ,Clothing
2020-09-01, Volume , 86 ,Clothing
2020-10-01, Volume , 86 ,Clothing
2020-11-01, Volume , 68 ,Clothing
2020-12-01, Volume , 83 ,Clothing
2021-01-01, Volume , 53 ,Clothing
2021-02-01, Volume , 51 ,Clothing
2021-03-01, Volume , 59 ,Clothing
