Ward Code,Ward Name ,Time Period,Latest Mid-Year Population Estimates for Ward,All Crimes (number),All Crimes (rate per 1000 ward population),Violent & Sexual Offences (number),Violent & Sexual Offences (rate per 1000 ward population),Burglary (number),Burglary (rate per 1000 ward population)
E05010895,Cotham,2016/17,11880,761,64.05723906,132,11.11111111,111,9.343434343
E05010905,Hotwells & Harbourside,2016/17,5543,2337,421.612845,737,132.9604907,124,22.37055746
E05010907,Lawrence Hill,2016/17,18884,3549,187.9368778,1152,61.00402457,243,12.86803643
E05010914,Southville,2016/17,12118,2085,172.0580954,484,39.94058425,170,14.02871761
E05010916,Stoke Bishop,2016/17,12103,584,48.25249938,114,9.419152276,93,7.684045278
E05010917,Westbury-on-Trym,2016/17,19624,1406,71.6469629,180,9.172441908,241,12.28088055
,Bristol,2016/17,455966,55419,121.5419571,15951,34.98287153,4860,10.65868946
E05010899,Frome Vale,2017/18,13281,1509,113.6209623,462,34.78653716,134,10.08960169
E05010903,Hillfields,2017/18,12889,1078,83.63721002,410,31.8100706,116,8.999922414
E05010905,Hotwells & Harbourside,2017/18,6006,2218,369.2973693,754,125.5411255,108,17.98201798
E05010917,Henleaze,2017/18,19854,1225,61.70041302,155,7.806991035,297,14.95920218
E05010887,Bedminster,2018/19,12517,1036,82.76743629,325,25.96468802,69,5.512502996
E05010892,Central,2018/19,20656,8672,419.8295895,2166,104.8605732,484,23.43144849
E05010915,Stockwood,2018/19,11580,820,70.81174439,290,25.04317789,59,5.094991364
E05010886,Avonmouth,2019/20,21375,2322,108.6315789,967,45.23976608,128,5.988304094
E05010887,Bedminster,2019/20,12517,1202,96.02940002,353,28.20164576,103,8.22880882
E05010903,Hillfields,2019/20,12898,987,76.52349201,404,31.32268569,61,4.729415413
E05010909,Redland,2019/20,13088,700,53.48410758,160,12.22493888,61,4.660757946
E05010918,Windmill Hill,2019/20,13735,955,69.5303968,292,21.25955588,69,5.023662177
E05010891,Brislington West,2020/21,11456,1117,97.50349162,458,39.97905028,47,4.102653631
E05010893,Clifton,2020/21,13454,689,51.2115356,176,13.08161142,59,4.385312918
E05010905,Cabot,2020/21,6392,1219,190.7071339,304,47.55944931,62,9.699624531
E05010886,Lawrence Weston,2021/22,21361,2554,119.5636908,1162,54.39820233,94,4.400543046
E05010898,Filwood,2021/22,13824,1808,130.787037,808,58.44907407,69,4.991319444
E05010907,Lawrence Hill,2021/22,20156,3803,188.6783092,1426,70.74816432,183,9.079182377
E05010909,Redland,2021/22,12949,702,54.21268052,241,18.61147579,77,5.946405128
E05010918,Windmill Hill,2021/22,13744,1195,86.94703143,430,31.28637951,72,5.238649593
E05010892,Central,2016/17,17151,8088,471.5760014,1951,113.7543,399,23.26394962
E05010898,Filwood,2016/17,13830,1755,126.8980477,639,46.20390456,121,8.749096168
E05010912,St George West,2016/17,6588,701,106.4055859,220,33.39404979,75,11.38433515
E05010918,Windmill Hill,2017/18,13673,1071,78.3295546,355,25.96357785,98,7.167410225
E05010885,Ashley,2018/19,19083,2675,140.177121,787,41.24089504,178,9.327673846
E05010888,Bishopston,2018/19,13415,900,67.08907939,238,17.74133433,96,7.156168468
