,Date,Stock,Value,Values
7,08/01/2018,COST_z_norm,-1.353817711,-1.355360718
8,08/01/2018,TJX_z_norm,-2.070571391,-2.03109532
9,08/01/2018,GPS_z_norm,1.276443009,1.323965473
10,08/01/2018,ETSY_z_norm,-1.278679373,-1.278740733
11,08/01/2018,EBAY_z_norm,-0.606038988,-0.697741274
12,08/01/2018,BABA_z_norm,0.243718894,0.228370215
13,08/01/2018,AMZN_z_norm,-1.621587211,-1.593005824
21,09/01/2018,COST_z_norm,-1.370885203,-1.350606706
22,09/01/2018,TJX_z_norm,-2.077409028,-2.022525412
23,09/01/2018,GPS_z_norm,1.237262443,1.334329374
24,09/01/2018,ETSY_z_norm,-1.269781473,-1.281716926
25,09/01/2018,EBAY_z_norm,-0.626201412,-0.729403992
26,09/01/2018,BABA_z_norm,0.252327327,0.199321378
27,09/01/2018,AMZN_z_norm,-1.613373205,-1.576665181
35,10/01/2018,COST_z_norm,-1.377665348,-1.341254604
36,10/01/2018,TJX_z_norm,-2.042308985,-2.012679126
37,10/01/2018,GPS_z_norm,1.242317449,1.366432305
38,10/01/2018,ETSY_z_norm,-1.279599837,-1.285276086
39,10/01/2018,EBAY_z_norm,-0.762858919,-0.752404156
40,10/01/2018,BABA_z_norm,0.233828222,0.173789193
41,10/01/2018,AMZN_z_norm,-1.611076637,-1.564745709
49,11/01/2018,COST_z_norm,-1.346803558,-1.331762198
50,11/01/2018,TJX_z_norm,-2.014502694,-2.003744624
51,11/01/2018,GPS_z_norm,1.3889297,1.410163116
52,11/01/2018,ETSY_z_norm,-1.274997487,-1.287301125
53,11/01/2018,EBAY_z_norm,-0.754644553,-0.736871378
54,11/01/2018,BABA_z_norm,0.214779947,0.154044797
55,11/01/2018,AMZN_z_norm,-1.579587267,-1.553758945
63,12/01/2018,COST_z_norm,-1.327631769,-1.327226425
64,12/01/2018,TJX_z_norm,-1.950684503,-1.985419802
65,12/01/2018,GPS_z_norm,1.474874764,1.451113561
66,12/01/2018,ETSY_z_norm,-1.290645497,-1.289939809
67,12/01/2018,EBAY_z_norm,-0.7389625,-0.727611421
68,12/01/2018,BABA_z_norm,0.197196686,0.136827986
69,12/01/2018,AMZN_z_norm,-1.539404799,-1.548715031
77,16/01/2018,COST_z_norm,-1.330047653,-1.323267356
78,16/01/2018,TJX_z_norm,-2.027721852,-1.974661955
79,16/01/2018,GPS_z_norm,1.328262513,1.491811084
80,16/01/2018,ETSY_z_norm,-1.293560335,-1.288436371
81,16/01/2018,EBAY_z_norm,-0.764352577,-0.704312465
82,16/01/2018,BABA_z_norm,0.098474708,0.123017938
83,16/01/2018,AMZN_z_norm,-1.539883999,-1.542484791
91,17/01/2018,COST_z_norm,-1.324124693,-1.320321493
92,17/01/2018,TJX_z_norm,-2.028177595,-1.949773016
93,17/01/2018,GPS_z_norm,1.3977771,1.561325557
94,17/01/2018,ETSY_z_norm,-1.287577273,-1.286626108
95,17/01/2018,EBAY_z_norm,-0.741202232,-0.673097754
96,17/01/2018,BABA_z_norm,0.124666401,0.159209913
97,17/01/2018,AMZN_z_norm,-1.553775843,-1.526231475
105,18/01/2018,COST_z_norm,-1.330203319,-1.317282027
106,18/01/2018,TJX_z_norm,-1.997636474,-1.925431044
107,18/01/2018,GPS_z_norm,1.460971505,1.602275944
108,18/01/2018,ETSY_z_norm,-1.289725033,-1.288743196
109,18/01/2018,EBAY_z_norm,-0.685195027,-0.645766313
110,18/01/2018,BABA_z_norm,0.135106244,0.202068799
111,18/01/2018,AMZN_z_norm,-1.556142818,-1.508617138
