Date,Measure,Value,Category
2015-01-01, Volume , 95.0 ,Clothing
2015-02-01, Volume , 97.2 ,Clothing
2015-03-01, Volume , 98.1 ,Clothing
2015-04-01, Volume , 100.1 ,Clothing
2015-05-01, Volume , 97.3 ,Clothing
2015-06-01, Volume , 98.7 ,Clothing
2015-07-01, Volume , 94.4 ,Clothing
2015-08-01, Volume , 97.4 ,Clothing
2015-09-01, Volume , 96.8 ,Clothing
2015-10-01, Volume , 95.2 ,Clothing
2015-11-01, Volume , 95.9 ,Clothing
2015-12-01, Volume , 93.1 ,Clothing
2016-01-01, Volume , 94.2 ,Clothing
2016-02-01, Volume , 93.1 ,Clothing
2016-03-01, Volume , 90.2 ,Clothing
2016-04-01, Volume , 91.6 ,Clothing
2016-05-01, Volume , 93.3 ,Clothing
2016-06-01, Volume , 92.0 ,Clothing
2016-07-01, Volume , 95.5 ,Clothing
2016-08-01, Volume , 94.3 ,Clothing
2016-09-01, Volume , 91.9 ,Clothing
2016-10-01, Volume , 99.1 ,Clothing
2016-11-01, Volume , 94.8 ,Clothing
2016-12-01, Volume , 94.5 ,Clothing
2017-01-01, Volume , 96.1 ,Clothing
2017-02-01, Volume , 97.3 ,Clothing
2017-03-01, Volume , 98.2 ,Clothing
2017-04-01, Volume , 97.1 ,Clothing
2017-05-01, Volume , 96.6 ,Clothing
2017-06-01, Volume , 97.5 ,Clothing
2017-07-01, Volume , 97.0 ,Clothing
2017-08-01, Volume , 98.8 ,Clothing
2017-09-01, Volume , 97.4 ,Clothing
2017-10-01, Volume , 97.1 ,Clothing
2017-11-01, Volume , 97.6 ,Clothing
2017-12-01, Volume , 96.6 ,Clothing
2018-01-01, Volume , 95.7 ,Clothing
2018-02-01, Volume , 95.6 ,Clothing
2018-03-01, Volume , 94.3 ,Clothing
2018-04-01, Volume , 96.6 ,Clothing
2018-05-01, Volume , 98.5 ,Clothing
2018-06-01, Volume , 97.9 ,Clothing
2018-07-01, Volume , 99.0 ,Clothing
2018-08-01, Volume , 97.4 ,Clothing
2018-09-01, Volume , 98.1 ,Clothing
2018-10-01, Volume , 98.7 ,Clothing
2018-11-01, Volume , 99.4 ,Clothing
2018-12-01, Volume , 101.4 ,Clothing
2019-01-01, Volume , 99.6 ,Clothing
2019-02-01, Volume , 99.7 ,Clothing
2019-03-01, Volume , 102.9 ,Clothing
2019-04-01, Volume , 104.6 ,Clothing
2019-05-01, Volume , 98.2 ,Clothing
2019-06-01, Volume , 100.1 ,Clothing
2019-07-01, Volume , 99.7 ,Clothing
2019-08-01, Volume , 99.9 ,Clothing
2019-09-01, Volume , 99.6 ,Clothing
2019-10-01, Volume , 99.6 ,Clothing
2019-11-01, Volume , 97.0 ,Clothing
2019-12-01, Volume , 98.8 ,Clothing
2020-01-01, Volume , 101.3 ,Clothing
2020-02-01, Volume , 101.0 ,Clothing
2020-03-01, Volume , 65.8 ,Clothing
2020-04-01, Volume , 32.2 ,Clothing
2020-05-01, Volume , 39.3 ,Clothing
2020-06-01, Volume , 66.1 ,Clothing
2020-07-01, Volume , 76.8 ,Clothing
2020-08-01, Volume , 85.5 ,Clothing
2020-09-01, Volume , 85.8 ,Clothing
2020-10-01, Volume , 85.9 ,Clothing
2020-11-01, Volume , 68.2 ,Clothing
2020-12-01, Volume , 83.1 ,Clothing
2021-01-01, Volume , 53.0 ,Clothing
2021-02-01, Volume , 51.0 ,Clothing
2021-03-01, Volume , 59.4 ,Clothing
2021-04-01, Volume , 98.9 ,Clothing
2021-05-01, Volume , 93.3 ,Clothing
2021-06-01, Volume , 90.5 ,Clothing
2021-07-01, Volume , 88.1 ,Clothing
2021-08-01, Volume , 94.2 ,Clothing
2021-09-01, Volume , 95.4 ,Clothing
2021-10-01, Volume , 99.5 ,Clothing
2021-11-01, Volume , 100.8 ,Clothing
2021-12-01, Volume , 90.4 ,Clothing
2022-01-01, Volume , 89.3 ,Clothing
2022-02-01, Volume , 99.0 ,Clothing
2022-03-01, Volume , 98.6 ,Clothing
2022-04-01, Volume , 98.6 ,Clothing
2022-05-01, Volume , 101.1 ,Clothing
2015-01-01, Volume , 93.4 ,Supermarkets
2015-02-01, Volume , 93.6 ,Supermarkets
2015-03-01, Volume , 94.3 ,Supermarkets
2015-04-01, Volume , 94.2 ,Supermarkets
2015-05-01, Volume , 94.3 ,Supermarkets
2015-06-01, Volume , 94.5 ,Supermarkets
2015-07-01, Volume , 94.3 ,Supermarkets
2015-08-01, Volume , 93.2 ,Supermarkets
2015-09-01, Volume , 96.2 ,Supermarkets
2015-10-01, Volume , 94.5 ,Supermarkets
2015-11-01, Volume , 94.9 ,Supermarkets
2015-12-01, Volume , 96.1 ,Supermarkets
2016-01-01, Volume , 96.8 ,Supermarkets
2016-02-01, Volume , 96.6 ,Supermarkets
2016-03-01, Volume , 96.8 ,Supermarkets
2016-04-01, Volume , 96.2 ,Supermarkets
2016-05-01, Volume , 97.5 ,Supermarkets
2016-06-01, Volume , 96.9 ,Supermarkets
2016-07-01, Volume , 97.3 ,Supermarkets
2016-08-01, Volume , 98.0 ,Supermarkets
2016-09-01, Volume , 98.4 ,Supermarkets
2016-10-01, Volume , 98.9 ,Supermarkets
2016-11-01, Volume , 97.8 ,Supermarkets
2016-12-01, Volume , 97.4 ,Supermarkets
2017-01-01, Volume , 97.6 ,Supermarkets
2017-02-01, Volume , 98.2 ,Supermarkets
2017-03-01, Volume , 98.5 ,Supermarkets
2017-04-01, Volume , 98.6 ,Supermarkets
2017-05-01, Volume , 97.8 ,Supermarkets
2017-06-01, Volume , 97.5 ,Supermarkets
2017-07-01, Volume , 97.8 ,Supermarkets
2017-08-01, Volume , 98.0 ,Supermarkets
2017-09-01, Volume , 98.0 ,Supermarkets
2017-10-01, Volume , 98.6 ,Supermarkets
2017-11-01, Volume , 98.5 ,Supermarkets
2017-12-01, Volume , 98.7 ,Supermarkets
2018-01-01, Volume , 97.5 ,Supermarkets
2018-02-01, Volume , 98.6 ,Supermarkets
2018-03-01, Volume , 97.3 ,Supermarkets
2018-04-01, Volume , 98.2 ,Supermarkets
2018-05-01, Volume , 99.9 ,Supermarkets
2018-06-01, Volume , 100.5 ,Supermarkets
2018-07-01, Volume , 100.3 ,Supermarkets
2018-08-01, Volume , 99.6 ,Supermarkets
2018-09-01, Volume , 99.0 ,Supermarkets
2018-10-01, Volume , 99.3 ,Supermarkets
2018-11-01, Volume , 100.0 ,Supermarkets
2018-12-01, Volume , 100.5 ,Supermarkets
2019-01-01, Volume , 101.1 ,Supermarkets
2019-02-01, Volume , 99.9 ,Supermarkets
2019-03-01, Volume , 100.1 ,Supermarkets
