Ward Code,Ward Name,Time Period,Total Offenders,Total Offences,Latest Mid-Year Population Estimates (age 10-17 years),"Offenders (rate per 1,000)"
E05010888,Bishopston and Ashley Down,2016/17,2,6,784,2.551020408
E05010889,Bishopsworth,2016/17,6,11,972,6.172839506
E05010901,Henbury and Brentry,2016/17,13,40,962,13.51351351
E05010906,Knowle,2016/17,14,27,1289,10.86113266
E05010912,St George West,2016/17,4,8,354,11.29943503
E05010916,Stoke Bishop,2016/17,5,10,948,5.274261603
E05010887,Bedminster,2017/18,6,17,695,8.633093525
E05010890,Brislington East,2017/18,13,18,898,14.4766147
E05010892,Central,2017/18,4,16,465,8.602150538
E05010895,Cotham,2017/18,0,0,558,0
E05010897,Eastville,2017/18,6,13,1215,4.938271605
E05010902,Hengrove and Whitchurch Park,2017/18,15,52,1413,10.61571125
E05010903,Hillfields,2017/18,11,31,1384,7.947976879
E05010910,St George Central,2017/18,18,75,1449,12.42236025
E05010915,Stockwood,2017/18,6,17,1014,5.917159763
E05010886,Avonmouth and Lawrence Weston,2018/19,17,24,1924,8.835758836
E05010888,Bishopston and Ashley Down,2018/19,3,9,806,3.722084367
E05010894,Clifton Down,2018/19,2,2,402,4.975124378
E05010903,Hillfields,2018/19,16,36,1384,11.56069364
E05010906,Knowle,2018/19,10,21,1289,7.757951901
E05010908,Lockleaze,2018/19,11,18,1378,7.982583454
E05010889,Bishopsworth,2019/20,3,14,978,3.067484663
E05010895,Cotham,2019/20,3,6,566,5.300353357
E05010916,Stoke Bishop,2019/20,4,5,964,4.149377593
E05010885,Ashley,2020/21,3,3,1596,1.879699248
E05010895,Cotham,2020/21,0,0,576,0
E05010906,Knowle,2020/21,4,4,1341,2.98284862
E05010912,St George West,2020/21,3,12,376,7.978723404
E05010897,Eastville,2021/22,5,13,1275,3.921568627
E05010898,Filwood,2021/22,19,36,1735,10.95100865
E05010907,Lawrence Hill,2021/22,8,12,2109,3.793266951
E05010915,Stockwood,2021/22,7,10,1024,6.8359375
E05010895,Cotham,2016/17,0,0,531,0
E05010896,Easton,2016/17,5,8,1050,4.761904762
E05010898,Filwood,2016/17,38,89,1588,23.92947103
E05010913,Southmead,2016/17,20,80,1417,14.11432604
E05010894,Clifton Down,2017/18,0,0,402,0
E05010901,Henbury and Brentry,2017/18,14,76,1005,13.93034826
E05010905,Hotwells and Harbourside,2017/18,2,12,148,13.51351351
